"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4019","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","2","2","1","2.294838","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","3","1","1","3.464877","0","8"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","16","5","1","58.260006","0","77"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","2","1","4.994406","0","16"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","23","6","45.074661","3","243"
"/OpenXR/Devices/M_XRController.M_XRController","0","36","8","3","192.404968","48","241"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","3","3","1","3.437713","0","5"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","2","2","1","2.458031","0","3"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","5","5","1","4.169053","0","9"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","2","2","1","1.936530","0","3"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","8","9","1","6.477551","0","12"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","6","1","6.469233","0","11"
"/Game/Materials/M_Mannequin.M_Mannequin","0","78","9","3","320.144287","0","508"
"/Interchange/gltf/M_Opaque.M_Opaque","0","216","42","8","603.114990","0","1721"
"/Game/RockAssets/Limestone/Limestone3/material1.material1","0","2","2","1","2.329099","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","23","5","1","15.348864","0","112"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","10","6","1","10.905688","0","42"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","3","3","1","2.904618","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","24","1","1","117.026169","0","118"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","12","1","1","65.948524","0","38"
"/Interchange/gltf/M_Translucent.M_Translucent","0","152","32","8","983.375427","0","870"
"/Engine/VREditor/TransformGizmo/Main.Main","0","3","1","1","3.909643","0","8"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","3","3","1","4.021818","0","3"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","2","2","1","2.090147","0","2"
"/Engine/VREditor/Devices/Generic/GenericHMDMaterial.GenericHMDMaterial","0","12","2","1","67.566017","0","31"
"/Game/VRTemplate/Materials/DefaultRibbonMaterial_NoGradient.DefaultRibbonMaterial_NoGradient","0","15","2","1","23.567999","0","107"
"/Interchange/gltf/M_Sheen.M_Sheen","0","108","17","4","331.755249","0","744"
"/Game/RockAssets/Granite/Granite1/Material_Granite_1.Material_Granite_1","0","2","2","1","2.414409","0","3"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","24","3","2","120.268829","0","107"
"/Interchange/gltf/M_Transmission.M_Transmission","0","84","14","4","518.949829","0","435"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","63","1","1","329.011353","0","658"
"/Interchange/gltf/M_Unlit.M_Unlit","0","30","3","2","27.817532","0","197"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","33","1","1","175.044205","0","273"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","12","1","1","59.211704","0","47"
"/Game/VRTemplate/Materials/M_GridRotation.M_GridRotation","0","42","6","2","130.062332","0","240"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","12","3","1","84.889450","0","48"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","12","2","1","78.716949","0","45"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","12","4","1","71.843178","0","51"
"/Game/RockAssets/Gneiss/Gneiss2/Material_Gneiss_2.Material_Gneiss_2","0","2","2","1","2.521145","0","3"
"/Game/RockAssets/Shale/Shale_3/Material_1_Shale_3.Material_1_Shale_3","0","2","2","1","2.331040","0","3"
"/Game/RockAssets/Basalt/Basalt3/Material_Basalt_3.Material_Basalt_3","0","2","2","1","3.041326","0","2"
"/Game/RockAssets/Shale/Shale_4/Material_2_Shale_4.Material_2_Shale_4","0","2","2","1","2.629118","0","2"
"/Game/RockAssets/Shale/Shale_3/Mateiral_3_Shale_3.Mateiral_3_Shale_3","0","2","2","1","2.734297","0","2"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","33","1","1","164.541245","0","296"
"/Game/VRTemplate/Materials/M_TeleportCylinder.M_TeleportCylinder","0","15","5","1","18.447966","0","68"
"/Game/VRTemplate/Materials/M_TeleportNoise.M_TeleportNoise","0","9","9","1","11.647120","0","17"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","13","1","1","286.405518","0","69"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","18","2","1","122.694763","0","91"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","12","2","1","72.788887","0","47"
"/Game/RockAssets/Gneiss/Gneiss3/Material_Gneiss_3.Material_Gneiss_3","0","2","2","1","2.296041","0","3"
"/Game/RockAssets/Gneiss/Gneiss2/Material_Gneiss_3.Material_Gneiss_3","0","2","2","1","0.000000","0","3"
"/Game/RockAssets/Limestone/Limestone1/Material_Limestone_1.Material_Limestone_1","0","2","2","1","2.187819","0","2"
"/Game/RockAssets/Limestone/Limestone3/material3.material3","0","2","2","1","3.218286","0","2"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","5","3","1","4.951108","0","14"
"/Game/RockAssets/Shale/Shale_1/Material_Shale_1.Material_Shale_1","0","2","2","1","3.682135","0","3"
"/Game/RockAssets/Shale/Shale_4/Material_1_Shale_4.Material_1_Shale_4","0","2","2","1","2.596684","0","3"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","24","6","1","146.507874","0","157"
"/Game/RockAssets/Limestone/Limestone2/Material_Limestone_2.Material_Limestone_2","0","2","2","1","2.219818","0","2"
"/Game/RockAssets/Basalt/Basalt2/Material_Basalt_2.Material_Basalt_2","0","2","2","1","2.251837","0","3"
"/Game/RockAssets/Shale/Shale_4/Material_3_Shale_4.Material_3_Shale_4","0","2","2","1","2.164010","0","2"
"/Game/RockAssets/Shale/Shale_2/Material_Shale_2.Material_Shale_2","0","2","2","1","2.105797","0","2"
"/Game/RockAssets/Gneiss/Gneiss2/Material_Gneiss_4.Material_Gneiss_4","0","2","2","1","3.507636","0","3"
"/Game/RockAssets/Gneiss/Gneiss_1/Material_Gneiss_1.Material_Gneiss_1","0","2","2","1","2.785784","0","3"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","2","2","1","3.571326","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","80","10","1","391.639679","0","822"
"/Game/RockAssets/Granite/Granite2/Material_Granite_2.Material_Granite_2","0","2","2","1","3.985491","0","2"
"/Game/RockAssets/Limestone/Limestone3/material2.material2","0","2","2","1","3.417609","0","2"
"/Game/RockAssets/Shale/Shale_3/Material_2_Shale_3.Material_2_Shale_3","0","2","2","1","2.530457","0","2"
"/Game/RockAssets/Gneiss/Gneiss2/Material_Gneiss_1.Material_Gneiss_1","0","2","2","1","2.576508","0","2"
"/Game/RockAssets/Shale/Shale_4/Material_0_Shale_4.Material_0_Shale_4","0","2","2","1","3.559125","0","2"
"/Game/RockAssets/Granite/Granite3/Material_Granite_3.Material_Granite_3","0","2","2","1","3.286014","0","2"
"/Game/RockAssets/Shale/Shale_3/Material_0_Shale_3.Material_0_Shale_3","0","2","2","1","2.646778","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","50","9","3","59.502068","0","375"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","54","11","1","220.846680","0","601"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","33","4","1","203.152634","0","235"
"/Game/RockAssets/Basalt/Basalt1/Material_Basalt_1.Material_Basalt_1","0","2","2","1","3.587520","0","2"
"/Game/RockAssets/Granite/Granite4/Material_Granite_4.Material_Granite_4","0","2","2","1","3.309797","0","3"
"/Game/RockAssets/Limestone/Limestone3/Material_0L.Material_0L","0","2","2","1","2.666802","0","2"
"/Game/Textures/QuestControllerButtons/qc-right-trigger_Mat.qc-right-trigger_Mat","0","27","3","1","87.390549","0","160"
"/Game/Materials/MainLevelMinimap.MainLevelMinimap","0","9","6","1","6.521916","0","26"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","8","9","1","10.064769","0","15"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","8.497828","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","4","4","1","7.525681","0","7"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","4","4","1","4.879258","0","7"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","2.649386","0","3"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","12","1","1","56.279644","0","53"
"/Game/Materials/GreenPin_Mat.GreenPin_Mat","0","27","9","1","72.220757","0","131"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","23","5","1","16.472589","0","102"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","27","9","1","61.819393","0","123"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","51","5","1","245.077316","0","396"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","3","1","4.652349","0","21"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","619","9","1","2195.905029","0","33895"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","9","1","333.731934","0","1061"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","123","8","1","799.649841","0","1548"
